date,close,high,low,number_of_trades,open,volume
2021-04-07 17:18:00,56458.6,56475.9,56432.85,990.0,56466.83,68.276
2021-04-07 17:19:00,56469.71,56513.47,56457.47,913.0,56458.59,52.493
2021-04-07 17:20:00,56450.01,56513.33,56450.0,1043.0,56469.71,62.275
2021-04-07 17:21:00,56400.0,56450.59,56400.0,1507.0,56450.0,125.043
2021-04-07 17:22:00,56300.01,56410.0,56272.0,5022.0,56400.0,530.201
2021-04-07 17:23:00,56267.63,56352.87,56173.65,6388.0,56300.01,492.563
2021-04-07 17:24:00,56291.29,56316.43,56246.94,2649.0,56267.62,217.367
2021-04-07 17:25:00,56327.78,56347.76,56280.74,1715.0,56291.28,128.908
2021-04-07 17:26:00,56326.51,56349.0,56320.0,1051.0,56327.2,69.422
2021-04-07 17:27:00,56369.76,56370.77,56323.54,1257.0,56326.51,101.606
2021-04-07 17:28:00,56295.15,56369.76,56284.08,1306.0,56369.76,107.862
2021-04-07 17:29:00,56304.39,56327.68,56255.0,1640.0,56294.28,113.598
2021-04-07 17:30:00,56400.95,56405.15,56292.99,1923.0,56304.39,177.257
2021-04-07 17:31:00,56325.7,56429.36,56318.71,1763.0,56401.02,143.483
2021-04-07 17:32:00,56300.35,56350.0,56290.0,1087.0,56325.71,101.935
2021-04-07 17:33:00,56399.33,56404.64,56293.79,1119.0,56300.34,92.974
2021-04-07 17:34:00,56393.55,56408.98,56337.26,1184.0,56399.32,111.264
2021-04-07 17:35:00,56421.78,56436.26,56393.54,1371.0,56393.55,118.454
2021-04-07 17:36:00,56372.01,56424.94,56372.0,1045.0,56422.99,50.812
2021-04-07 17:37:00,56418.11,56425.0,56370.0,684.0,56372.01,45.419
2021-04-07 17:38:00,56365.29,56418.11,56339.02,997.0,56418.11,61.830
2021-04-07 17:39:00,56310.44,56378.63,56300.0,1089.0,56365.5,67.465
2021-04-07 17:40:00,56311.28,56314.46,56250.0,1623.0,56310.44,131.198
2021-04-07 17:41:00,56266.4,56348.15,56266.39,1273.0,56313.38,71.857
2021-04-07 17:42:00,56264.42,56282.51,56250.0,1624.0,56269.06,224.154
2021-04-07 17:43:00,56150.0,56269.8,56150.0,3736.0,56264.42,366.927
2021-04-07 17:44:00,56149.0,56165.64,56090.61,5243.0,56150.01,431.731
2021-04-07 17:45:00,56110.48,56216.66,56094.87,2448.0,56148.99,177.882
2021-04-07 17:46:00,56076.08,56145.87,56070.0,2305.0,56110.48,248.694
2021-04-07 17:47:00,56147.0,56159.9,56062.77,2870.0,56076.65,273.763
2021-04-07 17:48:00,56081.0,56149.88,56081.0,1774.0,56149.14,126.016
